Intersecting Fractures
X	Y	Z	Dip	Dip direction
0.199509	0.526310	-98.148510	35.440381	33.493289
-0.177931	-0.045821	-101.865163	25.078812	44.605194
-0.520124	1.178001	-99.057870	27.296256	57.578738
0.333624	0.266647	-98.703189	76.787108	55.635116
1.273568	-1.264034	-98.935464	39.818455	19.003096
1.867625	-4.509174	-99.274015	39.390548	79.069050
-1.353490	1.644476	-101.852449	38.318118	65.667516
-0.604226	0.627936	-95.096887	50.895742	33.194638
-0.856241	-1.694764	-98.636276	22.379137	41.963492
1.156217	-1.424267	-98.511709	37.958802	9.419187

Non-intersecting Fractures
X	Y	Z	Dip	Dip direction
4.015381	-1.039601	-98.072333	23.098710	20.381484
0.715618	-1.837774	-96.905020	45.227732	81.860556
0.981777	-4.162966	-99.555853	29.505168	36.746583
0.008986	4.947596	-100.713599	54.276016	52.146198
2.571201	1.091740	-95.330670	64.506994	40.003809
-4.056418	-3.932143	-97.651064	30.242019	38.187320
2.184595	4.953237	-104.162999	37.037842	88.996378
-0.403196	-3.423408	-100.782142	72.470229	70.340093
4.376075	1.552082	-97.470891	26.511009	38.629052
1.325573	-2.531665	-96.600277	43.574963	71.153673
-1.015613	-0.122277	-98.818632	71.266520	50.373059
-4.568629	-3.344418	-99.888941	49.513672	56.815836
-4.150780	-2.929708	-99.410843	49.505958	48.524257
-1.743324	-4.100676	-96.896804	50.029520	76.491826
-1.829027	-2.340662	-100.395518	52.753300	74.550920
-2.269112	3.229113	-98.114452	45.328561	54.406552
-2.708277	-4.077454	-102.590213	37.190421	74.666507
-0.302809	-1.936966	-100.606282	53.761741	51.135659
-4.134165	4.268389	-103.515238	67.986933	26.755760
-4.917520	-1.272210	-97.116929	23.362292	356.818417
-2.643066	-2.277946	-104.913315	45.636556	16.248528
-1.676211	4.882879	-100.262831	77.504505	40.516121
2.172557	-3.153629	-96.662966	69.041257	65.412176
4.316927	0.641847	-101.011767	49.072513	63.494374
4.961690	2.794833	-95.105986	24.683870	42.778741
3.739795	2.582504	-98.828248	71.758457	17.936915
3.655844	-0.646259	-103.279191	58.307332	30.447087
0.161238	-1.998854	-100.216782	29.554580	43.923310
2.012072	3.046644	-96.480148	17.699235	15.199432
-4.617334	-3.048499	-101.693183	44.576863	55.285661
4.832533	1.103710	-102.520214	55.094146	57.890296
-2.810982	-1.878244	-95.268669	49.079478	70.067112
-3.447932	4.940825	-100.497608	73.029948	76.044155
-0.728243	4.203447	-99.719878	36.891582	19.575196
-3.670130	-4.578326	-100.989610	42.765967	23.301077
-1.726005	-4.047372	-100.583174	53.439561	48.406362
2.273467	-1.566709	-104.213653	48.537533	47.345911
1.559482	3.565376	-102.290595	78.360708	4.222801
3.183702	-1.395565	-99.984759	56.944150	62.845602
2.919450	4.368607	-99.317414	11.589198	206.328269
0.167700	1.401521	-96.310491	54.235799	41.848465
-3.704176	-2.718765	-103.189280	45.187466	358.498760
3.324750	-3.248741	-96.201578	76.670204	57.162346
-2.462723	2.785461	-96.892155	51.534725	52.018322
-4.813535	2.283280	-96.833421	28.476256	50.201703
3.243967	-3.269389	-96.363565	43.533631	36.916657
3.283637	4.085444	-97.947033	36.023339	114.065983
2.923783	3.361675	-99.398589	55.376980	23.578221
-4.323591	-1.600932	-103.229379	59.944552	46.359826
-2.792697	3.175467	-101.217709	35.857857	18.694487
-2.928603	-4.741808	-103.297911	21.254578	2.141309
-0.791457	2.037373	-100.187134	57.004708	90.139121
-2.247989	-4.664836	-103.479000	30.635830	51.136870
2.312935	-2.533782	-104.181591	57.913157	104.161136
4.059804	-0.233514	-96.103287	67.212744	20.070611
1.018483	-4.761145	-101.123290	57.808320	68.249982
-0.697871	1.593123	-102.816088	32.422484	0.991148
-2.472206	-2.799047	-102.641950	11.666523	357.560939
-4.702479	3.667063	-96.055858	18.997407	17.159721
-3.294070	2.943714	-96.115004	45.156521	44.458904
-2.654845	2.069842	-98.058356	47.570350	55.524905
-1.751255	0.218218	-95.481121	25.191515	13.036083
3.048897	0.027850	-100.659703	52.498477	60.683754
1.742421	0.880134	-99.662977	25.803005	49.076399
-2.349817	2.920670	-103.653907	68.351508	47.943956
1.770958	-1.459295	-99.895277	23.862415	53.660464
-1.805064	3.321429	-98.391784	71.806967	72.128139
-1.625033	-0.705644	-97.062213	28.115248	334.184869
1.983461	-2.428905	-98.090985	38.970386	62.069060
-4.211835	-4.690701	-98.730992	74.682747	37.719540
0.140810	-1.124881	-95.213902	33.205720	11.695143
-2.201406	-3.481504	-97.669875	29.804935	62.997301
-0.775169	-4.460952	-97.129632	67.434704	35.923910
-1.633391	3.833544	-101.663441	48.529456	38.643045
-0.552054	3.504099	-100.054651	54.668607	45.907837
0.341204	-4.433033	-100.314250	56.485770	358.371358
-3.169807	4.612190	-97.437385	56.340187	41.555602
-4.559338	-2.204412	-103.295304	56.277641	61.450643
-0.315676	1.873412	-98.169215	46.786270	8.726973
0.119060	2.483303	-100.801731	89.582944	30.038435
-1.129664	-4.738241	-98.664536	52.111261	21.308304
-2.743383	-3.840631	-103.660339	73.907426	33.636081
-0.454002	4.667020	-103.176930	41.580184	40.769590
-1.048640	-0.626578	-104.151172	52.703515	57.881445
1.678366	2.324209	-98.689896	41.140611	6.664052
-3.751230	1.740272	-98.196887	42.529071	61.072826
-2.823193	-4.914781	-101.993734	62.161303	52.935518
-3.454062	3.323045	-103.502479	47.478409	47.667692
3.086955	-4.528540	-98.338185	50.006515	67.315035
2.109149	0.489208	-96.303070	5.719134	257.938008
