HF simulation data file
Last updated date: 2015-08-25, 10:55:11

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	50	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	1	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
KGD fracture, height:	60	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.016667	1.067153	0.013364	0.010496	1.669739
0.316583	0.316583	7.994968	0.036579	0.028729	0.610034
0.616500	0.616500	12.501616	0.045741	0.035925	0.487842
0.916417	0.916417	16.291143	0.052215	0.041010	0.427353
1.216333	1.216333	19.672899	0.057380	0.045066	0.388891
1.516250	1.516250	22.778358	0.061743	0.048492	0.361411
1.816167	1.816167	25.678965	0.065556	0.051488	0.340387
2.116083	2.116083	28.419001	0.068965	0.054165	0.323562
2.416000	2.416000	31.028302	0.072061	0.056597	0.309659
2.715917	2.715917	33.528180	0.074908	0.058833	0.297891
3.015833	3.015833	35.934527	0.077550	0.060907	0.287744
3.315750	3.315750	38.259589	0.080019	0.062847	0.278864
3.615667	3.615667	40.513060	0.082342	0.064671	0.270997
3.915583	3.915583	42.702776	0.084538	0.066396	0.263958
4.215500	4.215500	44.835187	0.086623	0.068033	0.257604
4.515417	4.515417	46.915683	0.088610	0.069594	0.251827
4.815333	4.815333	48.948825	0.090510	0.071086	0.246542
5.115250	5.115250	50.938519	0.092331	0.072516	0.241679
5.415167	5.415167	52.888139	0.094081	0.073891	0.237183
5.715083	5.715083	54.800626	0.095767	0.075215	0.233007
6.015000	6.015000	56.678565	0.097394	0.076493	0.229115
6.314917	6.314917	58.524240	0.098967	0.077729	0.225473
6.614833	6.614833	60.339687	0.100490	0.078925	0.222055
6.914750	6.914750	62.126724	0.101968	0.080085	0.218838
7.214667	7.214667	63.886989	0.103402	0.081212	0.215802
7.514583	7.514583	65.621960	0.104797	0.082307	0.212930
7.814500	7.814500	67.332980	0.106154	0.083373	0.210207
