HF simulation data file
Last updated date: 2015-08-25, 14:35:24

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	50	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	1	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
Radial fracture

Injection parameter
By total injection time:	60	min

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.016667	2.760801	0.060533	0.032284	4.592143
0.316583	0.316583	10.144455	0.083809	0.044698	1.730296
0.616500	0.616500	13.575769	0.090141	0.048075	1.390652
0.916417	0.916417	16.130711	0.094112	0.050193	1.221945
1.216333	1.216333	18.236535	0.097044	0.051757	1.114513
1.516250	1.516250	20.058507	0.099382	0.053004	1.037691
1.816167	1.816167	21.680872	0.101333	0.054044	0.978891
2.116083	2.116083	23.153341	0.103012	0.054940	0.931819
2.416000	2.416000	24.508098	0.104487	0.055726	0.892914
2.715917	2.715917	25.767356	0.105804	0.056429	0.859982
3.015833	3.015833	26.947201	0.106995	0.057064	0.831585
3.315750	3.315750	28.059709	0.108082	0.057644	0.806732
3.615667	3.615667	29.114216	0.109084	0.058178	0.784717
3.915583	3.915583	30.118109	0.110012	0.058673	0.765017
4.215500	4.215500	31.077355	0.110878	0.059135	0.747238
4.515417	4.515417	31.996849	0.111689	0.059567	0.731074
4.815333	4.815333	32.880664	0.112452	0.059975	0.716286
5.115250	5.115250	33.732235	0.113173	0.060359	0.702681
5.415167	5.415167	34.554487	0.113857	0.060724	0.690102
5.715083	5.715083	35.349934	0.114507	0.061070	0.678423
6.015000	6.015000	36.120757	0.115126	0.061400	0.667535
6.314917	6.314917	36.868862	0.115717	0.061716	0.657351
6.614833	6.614833	37.595924	0.116284	0.062018	0.647793
6.914750	6.914750	38.303426	0.116827	0.062308	0.638798
7.214667	7.214667	38.992688	0.117349	0.062586	0.630310
7.514583	7.514583	39.664891	0.117851	0.062854	0.622282
7.814500	7.814500	40.321093	0.118336	0.063112	0.614671
8.114417	8.114417	40.962254	0.118803	0.063362	0.607441
8.414333	8.414333	41.589239	0.119256	0.063603	0.600560
8.714250	8.714250	42.202838	0.119693	0.063836	0.593999
9.014167	9.014167	42.803769	0.120117	0.064062	0.587733
9.314083	9.314083	43.392691	0.120528	0.064282	0.581741
9.614000	9.614000	43.970209	0.120927	0.064494	0.576001
9.913917	9.913917	44.536878	0.121315	0.064701	0.570495
10.213833	10.213833	45.093213	0.121692	0.064902	0.565208
10.513750	10.513750	45.639687	0.122059	0.065098	0.560125
10.813667	10.813667	46.176742	0.122416	0.065289	0.555232
11.113583	11.113583	46.704786	0.122765	0.065475	0.550517
11.413500	11.413500	47.224201	0.123105	0.065656	0.545969
11.713417	11.713417	47.735343	0.123436	0.065833	0.541579
12.013333	12.013333	48.238542	0.123760	0.066006	0.537336
12.313250	12.313250	48.734111	0.124077	0.066174	0.533233
12.613167	12.613167	49.222341	0.124387	0.066340	0.529261
12.913083	12.913083	49.703506	0.124690	0.066501	0.525414
13.213000	13.213000	50.177864	0.124986	0.066659	0.521684
13.512917	13.512917	50.645657	0.125276	0.066814	0.518066
13.812833	13.812833	51.107114	0.125561	0.066966	0.514554
14.112750	14.112750	51.562452	0.125839	0.067114	0.511142
14.412667	14.412667	52.011875	0.126113	0.067260	0.507826
14.712583	14.712583	52.455577	0.126381	0.067403	0.504601
15.012500	15.012500	52.893741	0.126644	0.067543	0.501463
15.312417	15.312417	53.326541	0.126902	0.067681	0.498407
15.612333	15.612333	53.754142	0.127156	0.067816	0.495431
15.912250	15.912250	54.176703	0.127405	0.067949	0.492530
16.212167	16.212167	54.594371	0.127650	0.068080	0.489701
16.512083	16.512083	55.007291	0.127890	0.068208	0.486941
16.812000	16.812000	55.415598	0.128127	0.068334	0.484248
17.111917	17.111917	55.819421	0.128360	0.068459	0.481618
17.411833	17.411833	56.218885	0.128589	0.068581	0.479049
17.711750	17.711750	56.614108	0.128814	0.068701	0.476539
18.011667	18.011667	57.005202	0.129036	0.068819	0.474085
18.311583	18.311583	57.392278	0.129255	0.068936	0.471685
18.611500	18.611500	57.775438	0.129470	0.069051	0.469337
18.911417	18.911417	58.154782	0.129682	0.069164	0.467039
19.211333	19.211333	58.530405	0.129891	0.069275	0.464789
19.511250	19.511250	58.902400	0.130097	0.069385	0.462586
19.811167	19.811167	59.270854	0.130300	0.069493	0.460427
20.111083	20.111083	59.635852	0.130500	0.069600	0.458312
20.411000	20.411000	59.997476	0.130697	0.069705	0.456239
20.710917	20.710917	60.355803	0.130892	0.069809	0.454206
21.010833	21.010833	60.710910	0.131084	0.069911	0.452212
21.310750	21.310750	61.062869	0.131274	0.070013	0.450255
21.610667	21.610667	61.411749	0.131461	0.070112	0.448336
21.910583	21.910583	61.757620	0.131645	0.070211	0.446451
22.210500	22.210500	62.100545	0.131828	0.070308	0.444601
22.510417	22.510417	62.440587	0.132008	0.070404	0.442784
22.810333	22.810333	62.777808	0.132186	0.070499	0.440999
23.110250	23.110250	63.112266	0.132361	0.070593	0.439245
23.410167	23.410167	63.444018	0.132535	0.070685	0.437521
23.710083	23.710083	63.773119	0.132707	0.070777	0.435826
24.010000	24.010000	64.099621	0.132876	0.070867	0.434160
24.309917	24.309917	64.423577	0.133044	0.070957	0.432522
24.609833	24.609833	64.745036	0.133209	0.071045	0.430910
24.909750	24.909750	65.064046	0.133373	0.071132	0.429325
25.209667	25.209667	65.380654	0.133535	0.071219	0.427765
25.509583	25.509583	65.694905	0.133695	0.071304	0.426229
25.809500	25.809500	66.006844	0.133854	0.071389	0.424717
