HF simulation data file
Last updated date: 2015-08-25, 10:56:41

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	70	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	2	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	0.0015	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10795	m

Fracture type
PKN fracture, height:	60	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.033333	1.004251	0.040016	0.025143	0.248987
0.166583	0.333167	6.375283	0.063518	0.039909	0.395222
0.316500	0.633000	10.631837	0.072181	0.045353	0.449126
0.466417	0.932833	14.467451	0.077959	0.048983	0.485081
0.616333	1.232667	18.044784	0.082387	0.051765	0.512630
0.766250	1.532500	21.438301	0.086014	0.054044	0.535197
0.916167	1.832333	24.690442	0.089105	0.055986	0.554432
1.066083	2.132167	27.828466	0.091811	0.057686	0.571266
1.216000	2.432000	30.871274	0.094224	0.059202	0.586280
1.365917	2.731833	33.832690	0.096406	0.060574	0.599861
1.515833	3.031667	36.723237	0.098402	0.061828	0.612282
1.665750	3.331500	39.551172	0.100244	0.062985	0.623744
1.815667	3.631333	42.323136	0.101957	0.064061	0.634396
1.965583	3.931167	45.044578	0.103557	0.065067	0.644357
2.115500	4.231000	47.720041	0.105062	0.066012	0.653719
2.265417	4.530833	50.353368	0.106482	0.066905	0.662557
2.415333	4.830667	52.947850	0.107828	0.067751	0.670932
2.565250	5.130500	55.506331	0.109108	0.068555	0.678894
2.715167	5.430333	58.031295	0.110328	0.069321	0.686486
2.865083	5.730167	60.524927	0.111495	0.070054	0.693745
3.015000	6.030000	62.989162	0.112613	0.070757	0.700701
3.164917	6.329833	65.425728	0.113686	0.071431	0.707381
3.314833	6.629667	67.836172	0.114719	0.072080	0.713808
3.464750	6.929500	70.221891	0.115715	0.072706	0.720003
3.614667	7.229333	72.584148	0.116676	0.073310	0.725983
3.764583	7.529167	74.924094	0.117605	0.073893	0.731765
3.914500	7.829000	77.242779	0.118505	0.074459	0.737362
4.064417	8.128833	79.541166	0.119376	0.075006	0.742787
4.214333	8.428667	81.820140	0.120222	0.075538	0.748051
4.364250	8.728500	84.080517	0.121044	0.076054	0.753165
4.514167	9.028333	86.323053	0.121844	0.076557	0.758137
4.664083	9.328167	88.548449	0.122621	0.077045	0.762977
4.814000	9.628000	90.757356	0.123379	0.077521	0.767691
4.963917	9.927833	92.950383	0.124118	0.077985	0.772287
5.113833	10.227667	95.128097	0.124838	0.078438	0.776772
5.263750	10.527500	97.291028	0.125542	0.078880	0.781150
5.413667	10.827333	99.439676	0.126229	0.079312	0.785428
5.563583	11.127167	101.574508	0.126902	0.079735	0.789610
5.713500	11.427000	103.695965	0.127559	0.080148	0.793701
5.863417	11.726833	105.804463	0.128203	0.080552	0.797705
6.013333	12.026667	107.900393	0.128833	0.080948	0.801626
6.163250	12.326500	109.984127	0.129450	0.081336	0.805469
6.313167	12.626333	112.056016	0.130056	0.081716	0.809236
6.463083	12.926167	114.116393	0.130649	0.082089	0.812930
6.613000	13.226000	116.165575	0.131232	0.082456	0.816555
6.762917	13.525833	118.203861	0.131804	0.082815	0.820114
6.912833	13.825667	120.231539	0.132366	0.083168	0.823608
7.062750	14.125500	122.248880	0.132917	0.083514	0.827042
7.212667	14.425333	124.256145	0.133460	0.083855	0.830416
7.362583	14.725167	126.253581	0.133993	0.084190	0.833733
7.512500	15.025000	128.241426	0.134517	0.084520	0.836996
7.662417	15.324833	130.219906	0.135033	0.084844	0.840206
7.812333	15.624667	132.189240	0.135541	0.085163	0.843364
7.962250	15.924500	134.149634	0.136040	0.085477	0.846474
8.112167	16.224333	136.101288	0.136533	0.085786	0.849536
8.262083	16.524167	138.044393	0.137017	0.086091	0.852552
8.412000	16.824000	139.979134	0.137495	0.086391	0.855524
8.561917	17.123833	141.905688	0.137966	0.086686	0.858452
8.711833	17.423667	143.824223	0.138430	0.086978	0.861339
8.861750	17.723500	145.734904	0.138887	0.087265	0.864186
9.011667	18.023333	147.637888	0.139338	0.087549	0.866993
9.161583	18.323167	149.533327	0.139783	0.087828	0.869763
9.311500	18.623000	151.421368	0.140222	0.088104	0.872495
9.461417	18.922833	153.302151	0.140656	0.088377	0.875192
9.611333	19.222667	155.175813	0.141084	0.088645	0.877854
9.761250	19.522500	157.042486	0.141506	0.088911	0.880482
9.911167	19.822333	158.902297	0.141923	0.089173	0.883077
10.061083	20.122167	160.755369	0.142335	0.089432	0.885641
10.211000	20.422000	162.601822	0.142742	0.089687	0.888173
10.360917	20.721833	164.441770	0.143144	0.089940	0.890675
10.510833	21.021667	166.275325	0.143542	0.090190	0.893147
10.660750	21.321500	168.102595	0.143934	0.090437	0.895591
10.810667	21.621333	169.923685	0.144323	0.090681	0.898007
10.960583	21.921167	171.738698	0.144706	0.090922	0.900395
11.110500	22.221000	173.547731	0.145086	0.091160	0.902757
11.260417	22.520833	175.350880	0.145461	0.091396	0.905093
11.410333	22.820667	177.148238	0.145833	0.091629	0.907403
11.560250	23.120500	178.939895	0.146200	0.091860	0.909689
11.710167	23.420333	180.725940	0.146563	0.092089	0.911951
11.860083	23.720167	182.506457	0.146923	0.092315	0.914189
12.010000	24.020000	184.281530	0.147279	0.092538	0.916403
12.159917	24.319833	186.051238	0.147631	0.092760	0.918596
12.309833	24.619667	187.815661	0.147980	0.092979	0.920766
12.459750	24.919500	189.574875	0.148326	0.093196	0.922914
12.609667	25.219333	191.328954	0.148667	0.093411	0.925042
12.759583	25.519167	193.077971	0.149006	0.093623	0.927149
12.909500	25.819000	194.821996	0.149341	0.093834	0.929235
13.059417	26.118833	196.561099	0.149674	0.094043	0.931302
13.209333	26.418667	198.295346	0.150003	0.094249	0.933350
13.359250	26.718500	200.024802	0.150329	0.094454	0.935378
13.509167	27.018333	201.749532	0.150652	0.094657	0.937388
13.659083	27.318167	203.469598	0.150972	0.094858	0.939380
13.809000	27.618000	205.185060	0.151289	0.095058	0.941353
13.958917	27.917833	206.895978	0.151603	0.095255	0.943310
14.108833	28.217667	208.602410	0.151915	0.095451	0.945249
14.258750	28.517500	210.304413	0.152224	0.095645	0.947171
14.408667	28.817333	212.002041	0.152530	0.095838	0.949076
14.558583	29.117167	213.695349	0.152834	0.096028	0.950966
14.708500	29.417000	215.384390	0.153135	0.096218	0.952840
14.858417	29.716833	217.069216	0.153434	0.096405	0.954697
15.008333	30.016667	218.749876	0.153730	0.096591	0.956540
15.158250	30.316500	220.426420	0.154023	0.096776	0.958368
15.308167	30.616333	222.098897	0.154315	0.096959	0.960180
15.458083	30.916167	223.767354	0.154604	0.097140	0.961979
15.608000	31.216000	225.431837	0.154890	0.097321	0.963762
15.757917	31.515833	227.092392	0.155175	0.097499	0.965532
15.907833	31.815667	228.749062	0.155457	0.097677	0.967289
16.057750	32.115500	230.401893	0.155737	0.097853	0.969031
16.207667	32.415333	232.050925	0.156015	0.098027	0.970760
16.357583	32.715167	233.696201	0.156291	0.098200	0.972477
16.507500	33.015000	235.337762	0.156565	0.098372	0.974180
16.657417	33.314833	236.975647	0.156836	0.098543	0.975870
16.807333	33.614667	238.609897	0.157106	0.098713	0.977549
16.957250	33.914500	240.240549	0.157374	0.098881	0.979214
17.107167	34.214333	241.867642	0.157640	0.099048	0.980868
17.257083	34.514167	243.491213	0.157903	0.099214	0.982510
17.407000	34.814000	245.111297	0.158165	0.099378	0.984140
17.556917	35.113833	246.727931	0.158426	0.099542	0.985759
17.706833	35.413667	248.341149	0.158684	0.099704	0.987366
17.856750	35.713500	249.950987	0.158940	0.099865	0.988963
18.006667	36.013333	251.557477	0.159195	0.100025	0.990548
18.156583	36.313167	253.160653	0.159448	0.100184	0.992122
18.306500	36.613000	254.760547	0.159700	0.100342	0.993686
18.456417	36.912833	256.357191	0.159949	0.100499	0.995239
18.606333	37.212667	257.950618	0.160197	0.100655	0.996782
18.756250	37.512500	259.540856	0.160443	0.100810	0.998315
18.906167	37.812333	261.127938	0.160688	0.100963	0.999838
19.056083	38.112167	262.711892	0.160931	0.101116	1.001351
19.206000	38.412000	264.292748	0.161173	0.101268	1.002854
19.355917	38.711833	265.870534	0.161413	0.101419	1.004347
19.505833	39.011667	267.445279	0.161651	0.101569	1.005831
19.655750	39.311500	269.017011	0.161888	0.101717	1.007305
19.805667	39.611333	270.585757	0.162124	0.101865	1.008771
19.955583	39.911167	272.151544	0.162358	0.102012	1.010227
20.105500	40.211000	273.714398	0.162590	0.102159	1.011674
20.255417	40.510833	275.274345	0.162822	0.102304	1.013112
20.405333	40.810667	276.831411	0.163051	0.102448	1.014542
20.555250	41.110500	278.385621	0.163280	0.102592	1.015963
20.705167	41.410333	279.937000	0.163507	0.102734	1.017376
20.855083	41.710167	281.485572	0.163732	0.102876	1.018780
21.005000	42.010000	283.031361	0.163957	0.103017	1.020175
21.154917	42.309833	284.574391	0.164180	0.103157	1.021563
21.304833	42.609667	286.114685	0.164401	0.103296	1.022943
21.454750	42.909500	287.652266	0.164622	0.103435	1.024314
21.604667	43.209333	289.187156	0.164841	0.103573	1.025678
21.754583	43.509167	290.719378	0.165059	0.103710	1.027034
21.904500	43.809000	292.248954	0.165276	0.103846	1.028382
22.054417	44.108833	293.775905	0.165491	0.103981	1.029723
22.204333	44.408667	295.300252	0.165705	0.104116	1.031056
22.354250	44.708500	296.822017	0.165918	0.104250	1.032382
22.504167	45.008333	298.341220	0.166130	0.104383	1.033700
22.654083	45.308167	299.857880	0.166341	0.104515	1.035011
22.804000	45.608000	301.372019	0.166551	0.104647	1.036315
22.953917	45.907833	302.883656	0.166759	0.104778	1.037612
23.103833	46.207667	304.392810	0.166966	0.104908	1.038903
23.253750	46.507500	305.899501	0.167173	0.105038	1.040186
23.403667	46.807333	307.403747	0.167378	0.105167	1.041462
23.553583	47.107167	308.905567	0.167582	0.105295	1.042732
23.703500	47.407000	310.404980	0.167785	0.105422	1.043995
23.853417	47.706833	311.902003	0.167987	0.105549	1.045251
24.003333	48.006667	313.396655	0.168188	0.105675	1.046501
24.153250	48.306500	314.888952	0.168388	0.105801	1.047745
24.303167	48.606333	316.378914	0.168586	0.105926	1.048982
24.453083	48.906167	317.866556	0.168784	0.106050	1.050213
24.603000	49.206000	319.351895	0.168981	0.106174	1.051438
24.752917	49.505833	320.834949	0.169177	0.106297	1.052656
24.902833	49.805667	322.315733	0.169372	0.106419	1.053869
25.052750	50.105500	323.794264	0.169566	0.106541	1.055075
25.202667	50.405333	325.270559	0.169759	0.106662	1.056276
