HF simulation data file
Last updated date: 2015-08-25, 05:10:33

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	cm 	1	cm 	1
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	cm/min^1/2	1	cm/min^1/2	1
Pressure	MPa	8	MPa	8
Spurt loss	cm	1	cm	1
Time	min	3	min	3
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	30	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	1	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	1.5e-3	cm/min^1/2
Spurt loss	0.001	cm
Borehole radius	0.10796	m

Fracture type
KGD fracture, height:	30	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
min	m^3	m	cm 	cm 	MPa
0.016667	0.016667	1.455694	0.021090	0.016564	1.159039
0.316583	0.316583	10.721061	0.057235	0.044952	0.427085
0.616500	0.616500	16.749215	0.071539	0.056186	0.341693
0.916417	0.916417	21.823018	0.081658	0.064134	0.299347
1.216333	1.216333	26.354594	0.089737	0.070479	0.272399
1.516250	1.516250	30.518897	0.096567	0.075843	0.253133
1.816167	1.816167	34.410938	0.102540	0.080534	0.238388
2.116083	2.116083	38.089584	0.107881	0.084730	0.226584
2.416000	2.416000	41.594493	0.112736	0.088542	0.216828
2.715917	2.715917	44.953984	0.117200	0.092049	0.208569
3.015833	3.015833	48.189172	0.121344	0.095303	0.201446
3.315750	3.315750	51.316329	0.125219	0.098347	0.195211
3.615667	3.615667	54.348333	0.128865	0.101211	0.189688
3.915583	3.915583	57.295595	0.132313	0.103919	0.184745
4.215500	4.215500	60.166683	0.135588	0.106491	0.180283
4.515417	4.515417	62.968757	0.138709	0.108942	0.176226
4.815333	4.815333	65.707878	0.141694	0.111286	0.172514
5.115250	5.115250	68.389232	0.144556	0.113534	0.169098
5.415167	5.415167	71.017302	0.147308	0.115695	0.165940
5.715083	5.715083	73.595996	0.149958	0.117777	0.163007
6.015000	6.015000	76.128748	0.152517	0.119786	0.160272
6.314917	6.314917	78.618593	0.154991	0.121729	0.157714
6.614833	6.614833	81.068233	0.157387	0.123611	0.155313
6.914750	6.914750	83.480087	0.159711	0.125437	0.153053
7.214667	7.214667	85.856329	0.161968	0.127209	0.150920
7.514583	7.514583	88.198924	0.164163	0.128933	0.148902
7.814500	7.814500	90.509656	0.166299	0.130611	0.146989
8.114417	8.114417	92.790147	0.168381	0.132246	0.145172
8.414333	8.414333	95.041884	0.170412	0.133841	0.143442
8.714250	8.714250	97.266228	0.172395	0.135399	0.141792
9.014167	9.014167	99.464432	0.174332	0.136920	0.140217
9.314083	9.314083	101.637652	0.176226	0.138408	0.138709
9.614000	9.614000	103.786958	0.178080	0.139863	0.137266
9.913917	9.913917	105.913342	0.179895	0.141289	0.135881
10.213833	10.213833	108.017726	0.181673	0.142686	0.134551
10.513750	10.513750	110.100970	0.183417	0.144055	0.133272
10.813667	10.813667	112.163877	0.185127	0.145398	0.132040
11.113583	11.113583	114.207196	0.186806	0.146717	0.130854
11.413500	11.413500	116.231632	0.188454	0.148011	0.129709
11.713417	11.713417	118.237845	0.190073	0.149283	0.128604
12.013333	12.013333	120.226456	0.191665	0.150533	0.127536
12.313250	12.313250	122.198050	0.193230	0.151763	0.126503
12.613167	12.613167	124.153180	0.194770	0.152972	0.125503
12.913083	12.913083	126.092367	0.196285	0.154162	0.124534
13.213000	13.213000	128.016104	0.197777	0.155334	0.123595
13.512917	13.512917	129.924859	0.199246	0.156487	0.122684
13.812833	13.812833	131.819073	0.200693	0.157624	0.121799
14.112750	14.112750	133.699169	0.202119	0.158744	0.120940
14.412667	14.412667	135.565546	0.203525	0.159848	0.120104
14.712583	14.712583	137.418585	0.204911	0.160937	0.119292
15.012500	15.012500	139.258647	0.206279	0.162011	0.118501
15.312417	15.312417	141.086078	0.207628	0.163070	0.117731
15.612333	15.612333	142.901209	0.208959	0.164116	0.116981
15.912250	15.912250	144.704355	0.210273	0.165148	0.116250
16.212167	16.212167	146.495816	0.211571	0.166167	0.115537
16.512083	16.512083	148.275881	0.212852	0.167174	0.114841
16.812000	16.812000	150.044825	0.214118	0.168168	0.114162
17.111917	17.111917	151.802915	0.215369	0.169150	0.113499
