HF simulation data file
Last updated date: 2015-08-03, 14:09:20

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	mm	4	mm	4
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	m/s^1/2	6	m/s^1/2	6
Pressure	MPa	8	MPa	8
Spurt loss	m	5	m	5
Time	s  	4	s  	4
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	30	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	1	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	8e-5	m/s^1/2
Spurt loss	0.001	m
Borehole radius	0.10795	m

Fracture type
Radial fracture, t_min:	32.2703	s  

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
s  	m^3	m	mm	mm	MPa
32.593016	0.543217	0.000002	0.018747	0.009999	154590.236576
50.430051	0.840501	1.271296	0.566575	0.302173	5.600416
68.267085	1.137785	2.218316	0.651180	0.347296	3.688822
86.104120	1.435069	2.878361	0.694995	0.370664	3.034214
103.941155	1.732353	3.404848	0.724803	0.386561	2.675050
121.778190	2.029637	3.849585	0.747393	0.398609	2.439747
139.615225	2.326920	4.237735	0.765559	0.408298	2.270152
157.452260	2.624204	4.583836	0.780733	0.416391	2.140343
175.289295	2.921488	4.897196	0.793747	0.423332	2.036782
193.126330	3.218772	5.184199	0.805130	0.429402	1.951614
210.963364	3.516056	5.449447	0.815236	0.434793	1.879927
228.800399	3.813340	5.696381	0.824319	0.439637	1.818469
246.637434	4.110624	5.927655	0.832561	0.444033	1.764993
264.474469	4.407908	6.145359	0.840102	0.448055	1.717888
282.311504	4.705192	6.351177	0.847050	0.451760	1.675964
300.148539	5.002476	6.546486	0.853488	0.455194	1.638321
317.985574	5.299760	6.732426	0.859485	0.458392	1.604267
335.822609	5.597043	6.909957	0.865096	0.461384	1.573254
353.659644	5.894327	7.079891	0.870366	0.464195	1.544846
371.496678	6.191611	7.242925	0.875334	0.466845	1.518692
389.333713	6.488895	7.399661	0.880032	0.469350	1.494502
407.170748	6.786179	7.550623	0.884486	0.471726	1.472035
425.007783	7.083463	7.696268	0.888721	0.473985	1.451093
442.844818	7.380747	7.837002	0.892756	0.476137	1.431505
460.681853	7.678031	7.973182	0.896609	0.478192	1.413128
478.518888	7.975315	8.105128	0.900296	0.480158	1.395839
496.355923	8.272599	8.233125	0.903830	0.482042	1.379532
514.192958	8.569883	8.357429	0.907222	0.483852	1.364114
532.029992	8.867167	8.478274	0.910484	0.485591	1.349506
549.867027	9.164450	8.595868	0.913625	0.487266	1.335636
567.704062	9.461734	8.710401	0.916653	0.488882	1.322442
585.541097	9.759018	8.822049	0.919576	0.490441	1.309870
603.378132	10.056302	8.930969	0.922402	0.491948	1.297870
621.215167	10.353586	9.037308	0.925135	0.493405	1.286400
639.052202	10.650870	9.141198	0.927782	0.494817	1.275419
656.889237	10.948154	9.242765	0.930349	0.496186	1.264893
674.726272	11.245438	9.342121	0.932839	0.497514	1.254790
692.563306	11.542722	9.439373	0.935257	0.498804	1.245082
710.400341	11.840006	9.534618	0.937608	0.500057	1.235742
728.237376	12.137290	9.627947	0.939894	0.501277	1.226747
746.074411	12.434574	9.719446	0.942119	0.502463	1.218075
763.911446	12.731857	9.809192	0.944286	0.503619	1.209707
781.748481	13.029141	9.897261	0.946399	0.504746	1.201625
799.585516	13.326425	9.983721	0.948459	0.505845	1.193812
817.422551	13.623709	10.068637	0.950469	0.506917	1.186253
835.259585	13.920993	10.152070	0.952432	0.507964	1.178933
853.096620	14.218277	10.234077	0.954350	0.508987	1.171841
870.933655	14.515561	10.314712	0.956224	0.509986	1.164964
888.770690	14.812845	10.394026	0.958057	0.510964	1.158290
906.607725	15.110129	10.472067	0.959850	0.511920	1.151810
924.444760	15.407413	10.548879	0.961606	0.512856	1.145514
942.281795	15.704697	10.624507	0.963324	0.513773	1.139393
960.118830	16.001981	10.698989	0.965008	0.514671	1.133439
977.955865	16.299264	10.772366	0.966659	0.515551	1.127644
995.792899	16.596548	10.844672	0.968277	0.516414	1.122000
1013.629934	16.893832	10.915944	0.969864	0.517261	1.116501
1031.466969	17.191116	10.986213	0.971421	0.518091	1.111141
1049.304004	17.488400	11.055511	0.972949	0.518906	1.105913
1067.141039	17.785684	11.123868	0.974450	0.519706	1.100813
1084.978074	18.082968	11.191312	0.975923	0.520492	1.095833
1102.815109	18.380252	11.257871	0.977371	0.521265	1.090971
1120.652144	18.677536	11.323570	0.978794	0.522023	1.086220
1138.489179	18.974820	11.388434	0.980193	0.522769	1.081577
1156.326213	19.272104	11.452486	0.981568	0.523503	1.077036
1174.163248	19.569388	11.515750	0.982921	0.524224	1.072596
1192.000283	19.866671	11.578247	0.984252	0.524934	1.068251
1209.837318	20.163955	11.639997	0.985561	0.525633	1.063997
1227.674353	20.461239	11.701021	0.986850	0.526320	1.059833
1245.511388	20.758523	11.761337	0.988120	0.526997	1.055754
1263.348423	21.055807	11.820964	0.989370	0.527664	1.051757
1281.185458	21.353091	11.879920	0.990601	0.528321	1.047840
1299.022493	21.650375	11.938221	0.991814	0.528968	1.044000
1316.859527	21.947659	11.995884	0.993010	0.529605	1.040234
1334.696562	22.244943	12.052924	0.994188	0.530234	1.036540
1352.533597	22.542227	12.109356	0.995350	0.530853	1.032915
1370.370632	22.839511	12.165195	0.996495	0.531464	1.029357
1388.207667	23.136794	12.220455	0.997625	0.532067	1.025864
1406.044702	23.434078	12.275149	0.998739	0.532661	1.022434
1423.881737	23.731362	12.329290	0.999839	0.533247	1.019065
1441.718772	24.028646	12.382890	1.000924	0.533826	1.015754
1459.555806	24.325930	12.435963	1.001994	0.534397	1.012502
1477.392841	24.623214	12.488518	1.003051	0.534961	1.009304
1495.229876	24.920498	12.540569	1.004095	0.535517	1.006161
1513.066911	25.217782	12.592124	1.005125	0.536067	1.003069
1530.903946	25.515066	12.643196	1.006143	0.536609	1.000029
1548.740981	25.812350	12.693794	1.007148	0.537146	0.997038
1566.578016	26.109634	12.743929	1.008141	0.537675	0.994095
1584.415051	26.406918	12.793609	1.009122	0.538198	0.991198
1602.252086	26.704201	12.842843	1.010091	0.538715	0.988347
1620.089120	27.001485	12.891642	1.011050	0.539226	0.985540
1637.926155	27.298769	12.940013	1.011997	0.539732	0.982775
1655.763190	27.596053	12.987965	1.012933	0.540231	0.980053
1673.600225	27.893337	13.035506	1.013859	0.540725	0.977371
1691.437260	28.190621	13.082645	1.014774	0.541213	0.974728
1709.274295	28.487905	13.129387	1.015679	0.541696	0.972125
1727.111330	28.785189	13.175742	1.016574	0.542173	0.969558
1744.948365	29.082473	13.221717	1.017460	0.542645	0.967029
1762.785400	29.379757	13.267317	1.018336	0.543113	0.964535
1780.622434	29.677041	13.312551	1.019203	0.543575	0.962076
1798.459469	29.974325	13.357425	1.020061	0.544032	0.959651
1816.296504	30.271608	13.401945	1.020910	0.544485	0.957259
1834.133539	30.568892	13.446118	1.021750	0.544933	0.954899
1851.970574	30.866176	13.489949	1.022582	0.545377	0.952571
1869.807609	31.163460	13.533445	1.023405	0.545816	0.950274
1887.644644	31.460744	13.576611	1.024220	0.546251	0.948007
1905.481679	31.758028	13.619453	1.025027	0.546681	0.945770
1923.318714	32.055312	13.661977	1.025826	0.547107	0.943561
1941.155748	32.352596	13.704188	1.026618	0.547529	0.941381
1958.992783	32.649880	13.746090	1.027401	0.547947	0.939228
1976.829818	32.947164	13.787690	1.028178	0.548362	0.937101
1994.666853	33.244448	13.828992	1.028947	0.548772	0.935002
2012.503888	33.541732	13.870000	1.029709	0.549178	0.932928
2030.340923	33.839015	13.910720	1.030464	0.549581	0.930879
2048.177958	34.136299	13.951157	1.031212	0.549980	0.928854
2066.014993	34.433583	13.991313	1.031953	0.550375	0.926854
2083.852028	34.730867	14.031195	1.032688	0.550767	0.924878
2101.689062	35.028151	14.070806	1.033416	0.551155	0.922924
2119.526097	35.325435	14.110150	1.034138	0.551540	0.920993
2137.363132	35.622719	14.149232	1.034853	0.551922	0.919085
2155.200167	35.920003	14.188055	1.035562	0.552300	0.917198
2173.037202	36.217287	14.226623	1.036265	0.552675	0.915333
2190.874237	36.514571	14.264940	1.036962	0.553046	0.913488
2208.711272	36.811855	14.303010	1.037653	0.553415	0.911664
2226.548307	37.109139	14.340836	1.038339	0.553781	0.909860
2244.385341	37.406422	14.378421	1.039018	0.554143	0.908075
2262.222376	37.703706	14.415770	1.039692	0.554503	0.906310
2280.059411	38.000990	14.452886	1.040361	0.554859	0.904564
2297.896446	38.298274	14.489772	1.041024	0.555213	0.902836
2315.733481	38.595558	14.526430	1.041682	0.555564	0.901127
2333.570516	38.892842	14.562865	1.042334	0.555912	0.899436
2351.407551	39.190126	14.599080	1.042982	0.556257	0.897762
2369.244586	39.487410	14.635076	1.043624	0.556600	0.896105
2387.081621	39.784694	14.670858	1.044262	0.556939	0.894466
2404.918655	40.081978	14.706429	1.044894	0.557277	0.892842
2422.755690	40.379262	14.741790	1.045521	0.557611	0.891236
2440.592725	40.676546	14.776945	1.046144	0.557944	0.889645
2458.429760	40.973829	14.811897	1.046762	0.558273	0.888070
2476.266795	41.271113	14.846648	1.047376	0.558600	0.886511
2494.103830	41.568397	14.881201	1.047985	0.558925	0.884966
2511.940865	41.865681	14.915558	1.048589	0.559247	0.883437
2529.777900	42.162965	14.949722	1.049189	0.559567	0.881922
2547.614935	42.460249	14.983696	1.049784	0.559885	0.880422
2565.451969	42.757533	15.017481	1.050376	0.560200	0.878936
2583.289004	43.054817	15.051081	1.050963	0.560513	0.877464
2601.126039	43.352101	15.084496	1.051546	0.560824	0.876006
2618.963074	43.649385	15.117731	1.052124	0.561133	0.874561
2636.800109	43.946669	15.150787	1.052699	0.561439	0.873130
2654.637144	44.243952	15.183665	1.053270	0.561744	0.871712
2672.474179	44.541236	15.216369	1.053836	0.562046	0.870306
2690.311214	44.838520	15.248900	1.054399	0.562346	0.868913
