HF simulation data file
Last updated date: 2015-08-03, 14:11:22

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	mm	4	mm	4
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	m/s^1/2	6	m/s^1/2	6
Pressure	MPa	8	MPa	8
Spurt loss	m	5	m	5
Time	s  	4	s  	4
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	30	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	1	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	8e-5	m/s^1/2
Spurt loss	0.001	m
Borehole radius	0.10795	m

Fracture type
KGD fracture, height:	20	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
s  	m^3	m	mm	mm	MPa
0.000000	0.000000	0.000000	0.000000	0.000000	NaN
18.000000	0.300000	2.363190	0.297382	0.233564	1.006715
36.000000	0.600000	4.108111	0.392091	0.307948	0.763545
54.000000	0.900000	5.602647	0.457891	0.359627	0.653822
72.000000	1.200000	6.940613	0.509641	0.400271	0.587431
90.000000	1.500000	8.166872	0.552833	0.434194	0.541537
108.000000	1.800000	9.307571	0.590179	0.463526	0.507268
126.000000	2.100000	10.379705	0.623244	0.489495	0.480356
144.000000	2.400000	11.395132	0.653019	0.512880	0.458454
162.000000	2.700000	12.362545	0.680174	0.534207	0.440151
180.000000	3.000000	13.288564	0.705188	0.553853	0.424538
198.000000	3.300000	14.178375	0.728415	0.572096	0.411001
216.000000	3.600000	15.036141	0.750126	0.589147	0.399105
234.000000	3.900000	15.865263	0.770530	0.605173	0.388537
251.999999	4.200000	16.668567	0.789796	0.620304	0.379059
269.999999	4.500000	17.448435	0.808061	0.634650	0.370491
287.999999	4.800000	18.206894	0.825437	0.648296	0.362692
305.999999	5.100000	18.945692	0.842017	0.661319	0.355550
323.999999	5.400000	19.666343	0.857882	0.673779	0.348975
341.999999	5.700000	20.370177	0.873099	0.685730	0.342893
359.999999	6.000000	21.058362	0.887724	0.697217	0.337243
377.999999	6.300000	21.731937	0.901810	0.708280	0.331976
395.999999	6.600000	22.391830	0.915399	0.718953	0.327048
413.999999	6.900000	23.038870	0.928531	0.729267	0.322422
431.999999	7.200000	23.673806	0.941239	0.739247	0.318069
449.999999	7.500000	24.297317	0.953553	0.748919	0.313962
467.999999	7.800000	24.910017	0.965501	0.758303	0.310076
485.999999	8.100000	25.512469	0.977107	0.767418	0.306394
503.999999	8.400000	26.105186	0.988392	0.776281	0.302895
521.999999	8.700000	26.688641	0.999376	0.784908	0.299566
539.999999	9.000000	27.263266	1.010078	0.793313	0.296392
557.999999	9.300000	27.829464	1.020512	0.801509	0.293362
575.999999	9.600000	28.387606	1.030695	0.809506	0.290463
593.999999	9.900000	28.938035	1.040640	0.817316	0.287688
611.999999	10.200000	29.481073	1.050358	0.824950	0.285026
629.999999	10.500000	30.017016	1.059863	0.832414	0.282470
647.999999	10.800000	30.546145	1.069163	0.839719	0.280013
665.999999	11.100000	31.068719	1.078270	0.846871	0.277648
683.999999	11.400000	31.584982	1.087192	0.853878	0.275369
701.999999	11.700000	32.095165	1.095937	0.860747	0.273172
719.999999	12.000000	32.599482	1.104514	0.867483	0.271051
737.999999	12.300000	33.098136	1.112929	0.874093	0.269001
755.999998	12.600000	33.591319	1.121190	0.880581	0.267019
773.999998	12.900000	34.079211	1.129303	0.886953	0.265101
791.999998	13.200000	34.561983	1.137274	0.893213	0.263243
809.999998	13.500000	35.039798	1.145109	0.899366	0.261442
827.999998	13.800000	35.512808	1.152812	0.905416	0.259695
845.999998	14.100000	35.981159	1.160389	0.911367	0.257999
863.999998	14.400000	36.444990	1.167844	0.917222	0.256352
881.999998	14.700000	36.904431	1.175182	0.922986	0.254751
899.999998	15.000000	37.359608	1.182407	0.928660	0.253195
917.999998	15.300000	37.810640	1.189523	0.934249	0.251680
935.999998	15.600000	38.257641	1.196534	0.939755	0.250205
953.999998	15.900000	38.700720	1.203443	0.945182	0.248769
971.999998	16.200000	39.139980	1.210253	0.950530	0.247369
989.999998	16.500000	39.575520	1.216968	0.955804	0.246004
1007.999998	16.800000	40.007436	1.223591	0.961006	0.244673
1025.999998	17.100000	40.435819	1.230124	0.966137	0.243373
1043.999998	17.400000	40.860755	1.236571	0.971201	0.242104
1061.999998	17.700000	41.282328	1.242934	0.976198	0.240865
1079.999998	18.000000	41.700619	1.249215	0.981131	0.239654
1097.999998	18.300000	42.115704	1.255417	0.986002	0.238470
1115.999998	18.600000	42.527659	1.261542	0.990812	0.237312
1133.999998	18.900000	42.936553	1.267592	0.995564	0.236180
1151.999998	19.200000	43.342456	1.273569	1.000259	0.235071
1169.999998	19.500000	43.745433	1.279476	1.004898	0.233986
1187.999998	19.800000	44.145549	1.285314	1.009483	0.232923
1205.999998	20.100000	44.542864	1.291085	1.014016	0.231882
1223.999998	20.400000	44.937438	1.296791	1.018497	0.230862
1241.999998	20.700000	45.329328	1.302433	1.022929	0.229861
1259.999997	21.000000	45.718589	1.308014	1.027311	0.228881
1277.999997	21.300000	46.105274	1.313534	1.031647	0.227919
1295.999997	21.600000	46.489435	1.318995	1.035936	0.226975
1313.999997	21.900000	46.871121	1.324398	1.040180	0.226049
1331.999997	22.200000	47.250380	1.329745	1.044380	0.225140
1349.999997	22.500000	47.627260	1.335038	1.048536	0.224248
1367.999997	22.800000	48.001804	1.340277	1.052651	0.223371
1385.999997	23.100000	48.374058	1.345464	1.056725	0.222510
1403.999997	23.400000	48.744062	1.350600	1.060759	0.221664
1421.999997	23.700000	49.111859	1.355686	1.064753	0.220832
1439.999997	24.000000	49.477488	1.360723	1.068709	0.220015
1457.999997	24.300000	49.840987	1.365712	1.072628	0.219211
1475.999997	24.600000	50.202395	1.370655	1.076510	0.218421
1493.999997	24.900000	50.561746	1.375552	1.080356	0.217643
1511.999997	25.200000	50.919078	1.380404	1.084167	0.216878
1529.999997	25.500000	51.274423	1.385212	1.087943	0.216125
1547.999997	25.800000	51.627816	1.389977	1.091686	0.215384
1565.999997	26.100000	51.979288	1.394701	1.095395	0.214655
1583.999997	26.400000	52.328871	1.399383	1.099073	0.213937
1601.999997	26.700000	52.676597	1.404025	1.102718	0.213229
1619.999997	27.000000	53.022494	1.408627	1.106333	0.212533
1637.999997	27.300000	53.366592	1.413190	1.109917	0.211846
1655.999997	27.600000	53.708919	1.417715	1.113471	0.211170
1673.999997	27.900000	54.049503	1.422203	1.116996	0.210504
1691.999997	28.200000	54.388370	1.426655	1.120492	0.209847
1709.999997	28.500000	54.725546	1.431070	1.123960	0.209200
1727.999997	28.800000	55.061057	1.435450	1.127400	0.208561
1745.999997	29.100000	55.394929	1.439796	1.130813	0.207932
1763.999996	29.400000	55.727184	1.444107	1.134199	0.207311
1781.999996	29.700000	56.057847	1.448385	1.137559	0.206699
1799.999996	30.000000	56.386941	1.452630	1.140893	0.206095
1817.999996	30.300000	56.714488	1.456843	1.144202	0.205499
1835.999996	30.600000	57.040511	1.461025	1.147486	0.204910
1853.999996	30.900000	57.365030	1.465175	1.150746	0.204330
1871.999996	31.200000	57.688066	1.469294	1.153981	0.203757
1889.999996	31.500000	58.009641	1.473384	1.157193	0.203192
1907.999996	31.800000	58.329774	1.477444	1.160382	0.202633
1925.999996	32.100000	58.648484	1.481475	1.163548	0.202082
1943.999996	32.400000	58.965791	1.485477	1.166691	0.201537
1961.999996	32.700000	59.281713	1.489451	1.169812	0.201000
1979.999996	33.000000	59.596269	1.493397	1.172912	0.200469
1997.999996	33.300000	59.909477	1.497317	1.175990	0.199944
2015.999996	33.600000	60.221353	1.501209	1.179047	0.199425
2033.999996	33.900000	60.531916	1.505075	1.182083	0.198913
2051.999996	34.200000	60.841181	1.508915	1.185099	0.198407
2069.999996	34.500000	61.149165	1.512729	1.188095	0.197907
2087.999996	34.800000	61.455885	1.516518	1.191071	0.197412
2105.999996	35.100000	61.761355	1.520282	1.194027	0.196923
2123.999996	35.400000	62.065592	1.524022	1.196964	0.196440
2141.999996	35.700000	62.368610	1.527738	1.199883	0.195962
2159.999996	36.000000	62.670424	1.531430	1.202782	0.195490
2177.999996	36.300000	62.971049	1.535099	1.205664	0.195023
2195.999996	36.600000	63.270498	1.538744	1.208527	0.194561
2213.999996	36.900000	63.568786	1.542367	1.211372	0.194104
2231.999996	37.200000	63.865926	1.545968	1.214200	0.193652
2249.999996	37.500000	64.161932	1.549546	1.217011	0.193204
2267.999995	37.800000	64.456816	1.553103	1.219804	0.192762
2285.999995	38.100000	64.750592	1.556638	1.222581	0.192324
2303.999995	38.400000	65.043272	1.560152	1.225341	0.191891
2321.999995	38.700000	65.334868	1.563646	1.228084	0.191462
2339.999995	39.000000	65.625393	1.567118	1.230812	0.191038
2357.999995	39.300000	65.914858	1.570571	1.233523	0.190618
2375.999995	39.600000	66.203275	1.574003	1.236219	0.190202
2393.999995	39.900000	66.490656	1.577416	1.238899	0.189791
2411.999995	40.200000	66.777012	1.580809	1.241564	0.189384
2429.999995	40.500000	67.062354	1.584183	1.244214	0.188980
2447.999995	40.800000	67.346692	1.587537	1.246849	0.188581
2465.999995	41.100000	67.630038	1.590874	1.249469	0.188185
2483.999995	41.400000	67.912402	1.594191	1.252075	0.187794
2501.999995	41.700000	68.193794	1.597490	1.254666	0.187406
2519.999995	42.000000	68.474224	1.600772	1.257243	0.187022
2537.999995	42.300000	68.753702	1.604035	1.259806	0.186641
2555.999995	42.600000	69.032239	1.607281	1.262356	0.186264
2573.999995	42.900000	69.309843	1.610510	1.264891	0.185891
2591.999995	43.200000	69.586524	1.613721	1.267413	0.185521
2609.999995	43.500000	69.862291	1.616915	1.269922	0.185155
2627.999995	43.800000	70.137154	1.620093	1.272418	0.184791
2645.999995	44.100000	70.411121	1.623254	1.274901	0.184432
2663.999995	44.400000	70.684201	1.626399	1.277371	0.184075
2681.999995	44.700000	70.956404	1.629527	1.279828	0.183722
2699.999995	45.000000	71.227736	1.632640	1.282272	0.183371
2717.999995	45.300000	71.498208	1.635737	1.284705	0.183024
2735.999995	45.600000	71.767826	1.638818	1.287125	0.182680
2753.999994	45.900000	72.036600	1.641884	1.289533	0.182339
2771.999994	46.200000	72.304537	1.644935	1.291929	0.182001
2789.999994	46.500000	72.571645	1.647970	1.294313	0.181665
2807.999994	46.800000	72.837932	1.650991	1.296685	0.181333
2825.999994	47.100000	73.103406	1.653997	1.299046	0.181004
2843.999994	47.400000	73.368073	1.656988	1.301395	0.180677
2861.999994	47.700000	73.631942	1.659965	1.303734	0.180353
2879.999994	48.000000	73.895019	1.662928	1.306061	0.180031
2897.999994	48.300000	74.157313	1.665877	1.308376	0.179713
2915.999994	48.600000	74.418829	1.668811	1.310681	0.179397
2933.999994	48.900000	74.679575	1.671732	1.312976	0.179083
2951.999994	49.200000	74.939558	1.674640	1.315259	0.178772
2969.999994	49.500000	75.198784	1.677534	1.317532	0.178464
2987.999994	49.800000	75.457260	1.680414	1.319794	0.178158
3005.999994	50.100000	75.714993	1.683282	1.322046	0.177855
3023.999994	50.400000	75.971990	1.686136	1.324288	0.177553
3041.999994	50.700000	76.228255	1.688977	1.326520	0.177255
3059.999994	51.000000	76.483797	1.691806	1.328741	0.176958
3077.999994	51.300000	76.738621	1.694622	1.330953	0.176664
3095.999994	51.600000	76.992732	1.697425	1.333155	0.176373
3113.999994	51.900000	77.246138	1.700217	1.335347	0.176083
3131.999994	52.200000	77.498844	1.702995	1.337529	0.175796
3149.999994	52.500000	77.750855	1.705762	1.339702	0.175511
