HF simulation data file
Last updated date: 2015-08-03, 14:11:48

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	mm	4	mm	4
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	m/s^1/2	6	m/s^1/2	6
Pressure	MPa	8	MPa	8
Spurt loss	m	5	m	5
Time	s  	4	s  	4
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	30	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	1	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	8e-5	m/s^1/2
Spurt loss	0.001	m
Borehole radius	0.10795	m

Fracture type
PKN fracture, height:	20	m

Injection parameter
By total injected volume:	60	m^3

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
s  	m^3	m	mm	mm	MPa
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
18.000000	0.300000	2.300268	0.511625	0.321464	0.409300
36.000000	0.600000	4.040745	0.589010	0.370086	0.471208
54.000000	0.900000	5.547554	0.637577	0.400602	0.510062
72.000000	1.200000	6.905248	0.673445	0.423138	0.538756
90.000000	1.500000	8.155042	0.702043	0.441107	0.561635
108.000000	1.800000	9.321315	0.725900	0.456096	0.580720
126.000000	2.100000	10.420106	0.746407	0.468981	0.597125
144.000000	2.400000	11.462710	0.764415	0.480296	0.611532
162.000000	2.700000	12.457482	0.780486	0.490394	0.624389
180.000000	3.000000	13.410825	0.795008	0.499518	0.636006
198.000000	3.300000	14.327790	0.808262	0.507846	0.646610
216.000000	3.600000	15.212447	0.820460	0.515510	0.656368
234.000000	3.900000	16.068141	0.831761	0.522611	0.665409
251.999999	4.200000	16.897664	0.842295	0.529229	0.673836
269.999999	4.500000	17.703374	0.852161	0.535428	0.681728
287.999999	4.800000	18.487289	0.861441	0.541260	0.689153
305.999999	5.100000	19.251148	0.870205	0.546766	0.696164
323.999999	5.400000	19.996470	0.878508	0.551983	0.702806
341.999999	5.700000	20.724584	0.886398	0.556940	0.709119
359.999999	6.000000	21.436667	0.893916	0.561664	0.715133
377.999999	6.300000	22.133764	0.901096	0.566176	0.720877
395.999999	6.600000	22.816810	0.907969	0.570494	0.726375
413.999999	6.900000	23.486645	0.914561	0.574636	0.731649
431.999999	7.200000	24.144027	0.920894	0.578615	0.736715
449.999999	7.500000	24.789643	0.926990	0.582445	0.741592
467.999999	7.800000	25.424118	0.932865	0.586136	0.746292
485.999999	8.100000	26.048024	0.938536	0.589700	0.750829
503.999999	8.400000	26.661883	0.944018	0.593144	0.755214
521.999999	8.700000	27.266177	0.949322	0.596476	0.759457
539.999999	9.000000	27.861349	0.954460	0.599705	0.763568
557.999999	9.300000	28.447807	0.959444	0.602836	0.767555
575.999999	9.600000	29.025933	0.964282	0.605876	0.771425
593.999999	9.900000	29.596077	0.968982	0.608830	0.775186
611.999999	10.200000	30.158569	0.973554	0.611702	0.778843
629.999999	10.500000	30.713713	0.978004	0.614498	0.782403
647.999999	10.800000	31.261797	0.982338	0.617221	0.785870
665.999999	11.100000	31.803086	0.986563	0.619876	0.789250
683.999999	11.400000	32.337833	0.990684	0.622465	0.792547
701.999999	11.700000	32.866272	0.994707	0.624993	0.795765
719.999999	12.000000	33.388626	0.998636	0.627461	0.798908
737.999999	12.300000	33.905103	1.002475	0.629874	0.801980
755.999998	12.600000	34.415901	1.006230	0.632233	0.804984
773.999998	12.900000	34.921206	1.009903	0.634541	0.807922
791.999998	13.200000	35.421194	1.013499	0.636800	0.810799
809.999998	13.500000	35.916031	1.017020	0.639012	0.813616
827.999998	13.800000	36.405877	1.020470	0.641180	0.816376
845.999998	14.100000	36.890881	1.023852	0.643305	0.819082
863.999998	14.400000	37.371186	1.027168	0.645389	0.821735
881.999998	14.700000	37.846928	1.030422	0.647433	0.824337
899.999998	15.000000	38.318237	1.033615	0.649439	0.826892
917.999998	15.300000	38.785235	1.036750	0.651409	0.829400
935.999998	15.600000	39.248041	1.039829	0.653344	0.831863
953.999998	15.900000	39.706767	1.042854	0.655245	0.834283
971.999998	16.200000	40.161519	1.045827	0.657113	0.836662
989.999998	16.500000	40.612402	1.048750	0.658949	0.839000
1007.999998	16.800000	41.059514	1.051625	0.660755	0.841300
1025.999998	17.100000	41.502948	1.054453	0.662532	0.843562
1043.999998	17.400000	41.942795	1.057235	0.664281	0.845788
1061.999998	17.700000	42.379141	1.059975	0.666002	0.847980
1079.999998	18.000000	42.812071	1.062671	0.667696	0.850137
1097.999998	18.300000	43.241663	1.065327	0.669365	0.852262
1115.999998	18.600000	43.667995	1.067943	0.671009	0.854355
1133.999998	18.900000	44.091141	1.070521	0.672628	0.856417
1151.999998	19.200000	44.511172	1.073062	0.674224	0.858449
1169.999998	19.500000	44.928156	1.075566	0.675798	0.860453
1187.999998	19.800000	45.342160	1.078035	0.677349	0.862428
1205.999998	20.100000	45.753246	1.080470	0.678880	0.864376
1223.999998	20.400000	46.161478	1.082872	0.680389	0.866298
1241.999998	20.700000	46.566913	1.085242	0.681878	0.868194
1259.999997	21.000000	46.969610	1.087581	0.683347	0.870065
1277.999997	21.300000	47.369623	1.089889	0.684798	0.871911
1295.999997	21.600000	47.767006	1.092168	0.686229	0.873734
1313.999997	21.900000	48.161811	1.094418	0.687643	0.875534
1331.999997	22.200000	48.554087	1.096639	0.689039	0.877312
1349.999997	22.500000	48.943884	1.098834	0.690418	0.879067
1367.999997	22.800000	49.331248	1.101002	0.691780	0.880801
1385.999997	23.100000	49.716224	1.103143	0.693125	0.882515
1403.999997	23.400000	50.098857	1.105260	0.694455	0.884208
1421.999997	23.700000	50.479189	1.107351	0.695769	0.885881
1439.999997	24.000000	50.857262	1.109419	0.697069	0.887535
1457.999997	24.300000	51.233116	1.111463	0.698353	0.889171
1475.999997	24.600000	51.606789	1.113484	0.699623	0.890787
1493.999997	24.900000	51.978320	1.115483	0.700879	0.892386
1511.999997	25.200000	52.347745	1.117460	0.702121	0.893968
1529.999997	25.500000	52.715100	1.119415	0.703349	0.895532
1547.999997	25.800000	53.080421	1.121349	0.704565	0.897080
1565.999997	26.100000	53.443739	1.123263	0.705767	0.898611
1583.999997	26.400000	53.805089	1.125157	0.706957	0.900126
1601.999997	26.700000	54.164503	1.127032	0.708135	0.901625
1619.999997	27.000000	54.522010	1.128887	0.709300	0.903109
1637.999997	27.300000	54.877643	1.130723	0.710454	0.904578
1655.999997	27.600000	55.231429	1.132541	0.711597	0.906033
1673.999997	27.900000	55.583398	1.134341	0.712728	0.907473
1691.999997	28.200000	55.933578	1.136123	0.713847	0.908899
1709.999997	28.500000	56.281996	1.137889	0.714957	0.910311
1727.999997	28.800000	56.628678	1.139637	0.716055	0.911709
1745.999997	29.100000	56.973650	1.141369	0.717143	0.913095
1763.999996	29.400000	57.316939	1.143084	0.718221	0.914467
1781.999996	29.700000	57.658567	1.144783	0.719289	0.915827
1799.999996	30.000000	57.998560	1.146467	0.720347	0.917174
1817.999996	30.300000	58.336940	1.148136	0.721395	0.918509
1835.999996	30.600000	58.673732	1.149789	0.722434	0.919832
1853.999996	30.900000	59.008956	1.151428	0.723464	0.921143
1871.999996	31.200000	59.342635	1.153053	0.724484	0.922442
1889.999996	31.500000	59.674790	1.154663	0.725496	0.923730
1907.999996	31.800000	60.005442	1.156259	0.726499	0.925007
1925.999996	32.100000	60.334611	1.157841	0.727493	0.926273
1943.999996	32.400000	60.662318	1.159410	0.728479	0.927528
1961.999996	32.700000	60.988582	1.160966	0.729456	0.928773
1979.999996	33.000000	61.313421	1.162509	0.730426	0.930007
1997.999996	33.300000	61.636855	1.164039	0.731387	0.931231
2015.999996	33.600000	61.958901	1.165556	0.732341	0.932445
2033.999996	33.900000	62.279578	1.167062	0.733286	0.933649
2051.999996	34.200000	62.598903	1.168555	0.734225	0.934844
2069.999996	34.500000	62.916893	1.170036	0.735155	0.936029
2087.999996	34.800000	63.233564	1.171505	0.736079	0.937204
2105.999996	35.100000	63.548934	1.172963	0.736995	0.938371
2123.999996	35.400000	63.863017	1.174410	0.737904	0.939528
2141.999996	35.700000	64.175831	1.175846	0.738806	0.940676
2159.999996	36.000000	64.487390	1.177270	0.739701	0.941816
2177.999996	36.300000	64.797709	1.178684	0.740589	0.942947
2195.999996	36.600000	65.106803	1.180087	0.741470	0.944069
2213.999996	36.900000	65.414687	1.181480	0.742345	0.945184
2231.999996	37.200000	65.721375	1.182862	0.743214	0.946290
2249.999996	37.500000	66.026880	1.184234	0.744076	0.947387
2267.999995	37.800000	66.331217	1.185596	0.744932	0.948477
2285.999995	38.100000	66.634399	1.186949	0.745782	0.949559
2303.999995	38.400000	66.936438	1.188292	0.746626	0.950633
2321.999995	38.700000	67.237348	1.189625	0.747463	0.951700
2339.999995	39.000000	67.537142	1.190949	0.748295	0.952759
2357.999995	39.300000	67.835832	1.192263	0.749121	0.953811
2375.999995	39.600000	68.133430	1.193569	0.749941	0.954855
2393.999995	39.900000	68.429947	1.194865	0.750756	0.955892
2411.999995	40.200000	68.725397	1.196153	0.751565	0.956922
2429.999995	40.500000	69.019790	1.197432	0.752369	0.957945
2447.999995	40.800000	69.313137	1.198702	0.753167	0.958962
2465.999995	41.100000	69.605451	1.199964	0.753960	0.959971
2483.999995	41.400000	69.896741	1.201217	0.754747	0.960974
2501.999995	41.700000	70.187018	1.202463	0.755530	0.961970
2519.999995	42.000000	70.476294	1.203700	0.756307	0.962960
2537.999995	42.300000	70.764578	1.204929	0.757079	0.963943
2555.999995	42.600000	71.051880	1.206150	0.757846	0.964920
2573.999995	42.900000	71.338211	1.207363	0.758609	0.965891
2591.999995	43.200000	71.623580	1.208569	0.759366	0.966855
2609.999995	43.500000	71.907998	1.209767	0.760119	0.967813
2627.999995	43.800000	72.191473	1.210957	0.760867	0.968766
2645.999995	44.100000	72.474015	1.212141	0.761610	0.969712
2663.999995	44.400000	72.755633	1.213316	0.762349	0.970653
2681.999995	44.700000	73.036337	1.214485	0.763083	0.971588
2699.999995	45.000000	73.316134	1.215646	0.763813	0.972517
2717.999995	45.300000	73.595035	1.216801	0.764539	0.973441
2735.999995	45.600000	73.873047	1.217948	0.765260	0.974359
2753.999994	45.900000	74.150179	1.219089	0.765976	0.975271
2771.999994	46.200000	74.426440	1.220223	0.766689	0.976178
2789.999994	46.500000	74.701837	1.221350	0.767397	0.977080
2807.999994	46.800000	74.976379	1.222471	0.768101	0.977977
2825.999994	47.100000	75.250074	1.223585	0.768801	0.978868
2843.999994	47.400000	75.522929	1.224693	0.769497	0.979754
2861.999994	47.700000	75.794952	1.225794	0.770189	0.980635
2879.999994	48.000000	76.066151	1.226889	0.770877	0.981511
2897.999994	48.300000	76.336533	1.227978	0.771561	0.982382
2915.999994	48.600000	76.606106	1.229060	0.772241	0.983248
2933.999994	48.900000	76.874877	1.230137	0.772918	0.984110
2951.999994	49.200000	77.142854	1.231208	0.773591	0.984966
2969.999994	49.500000	77.410042	1.232272	0.774260	0.985818
2987.999994	49.800000	77.676449	1.233331	0.774925	0.986665
3005.999994	50.100000	77.942083	1.234384	0.775587	0.987507
3023.999994	50.400000	78.206949	1.235432	0.776245	0.988345
3041.999994	50.700000	78.471054	1.236473	0.776899	0.989179
3059.999994	51.000000	78.734405	1.237509	0.777550	0.990008
3077.999994	51.300000	78.997009	1.238540	0.778198	0.990832
3095.999994	51.600000	79.258871	1.239565	0.778842	0.991652
3113.999994	51.900000	79.519999	1.240585	0.779482	0.992468
3131.999994	52.200000	79.780397	1.241599	0.780120	0.993279
3149.999994	52.500000	80.040073	1.242608	0.780754	0.994087
3167.999994	52.800000	80.299032	1.243612	0.781385	0.994890
3185.999994	53.100000	80.557281	1.244611	0.782012	0.995689
3203.999994	53.400000	80.814824	1.245604	0.782636	0.996484
3221.999994	53.700000	81.071669	1.246593	0.783257	0.997274
3239.999994	54.000000	81.327819	1.247576	0.783875	0.998061
3257.999993	54.300000	81.583282	1.248555	0.784490	0.998844
3275.999993	54.600000	81.838063	1.249529	0.785102	0.999623
3293.999993	54.900000	82.092167	1.250497	0.785711	1.000398
3311.999993	55.200000	82.345600	1.251461	0.786316	1.001169
3329.999993	55.500000	82.598366	1.252421	0.786919	1.001937
3347.999993	55.800000	82.850471	1.253375	0.787519	1.002700
3365.999993	56.100000	83.101921	1.254325	0.788116	1.003460
3383.999993	56.400000	83.352720	1.255271	0.788710	1.004216
3401.999993	56.700000	83.602874	1.256211	0.789301	1.004969
3419.999993	57.000000	83.852387	1.257148	0.789889	1.005718
3437.999993	57.300000	84.101265	1.258079	0.790475	1.006463
3455.999993	57.600000	84.349512	1.259007	0.791057	1.007205
3473.999993	57.900000	84.597133	1.259930	0.791637	1.007944
3491.999993	58.200000	84.844132	1.260848	0.792214	1.008679
3509.999993	58.500000	85.090516	1.261763	0.792789	1.009410
3527.999993	58.800000	85.336287	1.262673	0.793361	1.010138
3545.999993	59.100000	85.581451	1.263579	0.793930	1.010863
3563.999993	59.400000	85.826012	1.264480	0.794496	1.011584
3581.999993	59.700000	86.069974	1.265378	0.795060	1.012302
3599.999993	60.000000	86.313343	1.266272	0.795622	1.013017

2D aperture profile & 3D fracture shape
At volume V =	54.2	m^3
Aperture scale factor in 3D:	1000
