HF simulation data file
Last updated date: 2015-08-03, 14:28:13

Unit settings
Parameter	Input unit	IU id	Output unit	OU id
Fluid volume	m^3	6	m^3	6
Fracture length	m	5	m	5
Fracture aperture	mm	4	mm	4
Fracture height	m	5	m	5
Injection rate	m^3/min	8	m^3/min	8
Leakoff coefficient	m/s^1/2	6	m/s^1/2	6
Pressure	MPa	8	MPa	8
Spurt loss	m	5	m	5
Time	s  	4	s  	4
Young's modulus	GPa	5	GPa	5
Borehole radius	m	5	m	5
Fluid viscosity	cP	3	cP	3

Base data
Parameter	Value	Unit
Young's modulus	30	GPa
Poisson's ratio	0.25	fraction
Injection rate into the borehole	1	m^3/min
fluid viscosity	1	cP
Leakoff coefficient	8e-5	m/s^1/2
Spurt loss	0.001	m
Borehole radius	0.10795	m

Fracture type
PKN fracture, height:	20	m

Injection parameter
By total injection time:	3320	s  

Calculation results
Injection time	Injected volume	Fracture length	Maximum fracture aperture	Average fracture aperture	Net fluid pressure
s  	m^3	m	mm	mm	MPa
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16.600000	0.276667	2.150138	0.503065	0.316085	0.402452
33.200000	0.553333	3.788589	0.579598	0.364172	0.463678
49.800000	0.830000	5.211374	0.627690	0.394389	0.502152
66.400000	1.106667	6.495893	0.663234	0.416723	0.530588
83.000000	1.383333	7.680036	0.691589	0.434538	0.553271
99.600000	1.660000	8.786289	0.715251	0.449406	0.572201
116.200000	1.936667	9.829480	0.735597	0.462189	0.588478
132.800000	2.213333	10.820079	0.753468	0.473418	0.602775
149.400000	2.490000	11.765841	0.769419	0.483440	0.615536
166.000000	2.766667	12.672720	0.783835	0.492498	0.627068
182.600000	3.043333	13.545418	0.796995	0.500767	0.637596
199.200000	3.320000	14.387732	0.809106	0.508376	0.647285
215.800000	3.596667	15.202782	0.820329	0.515428	0.656263
232.400000	3.873333	15.993177	0.830790	0.522001	0.664632
249.000000	4.150000	16.761123	0.840588	0.528157	0.672470
265.600000	4.426667	17.508508	0.849806	0.533949	0.679845
282.200000	4.703333	18.236963	0.858510	0.539418	0.686808
298.800000	4.980000	18.947909	0.866758	0.544600	0.693406
315.400000	5.256667	19.642596	0.874595	0.549524	0.699676
332.000000	5.533333	20.322127	0.882063	0.554217	0.705651
348.600000	5.810000	20.987485	0.889196	0.558698	0.711357
365.200000	6.086667	21.639547	0.896024	0.562988	0.716819
381.800000	6.363333	22.279103	0.902572	0.567103	0.722058
398.400000	6.640000	22.906868	0.908864	0.571056	0.727091
415.000000	6.916667	23.523487	0.914919	0.574861	0.731935
431.600000	7.193333	24.129549	0.920756	0.578528	0.736605
448.200000	7.470000	24.725593	0.926390	0.582068	0.741112
464.800000	7.746667	25.312111	0.931836	0.585490	0.745469
481.400000	8.023333	25.889557	0.937106	0.588801	0.749684
498.000000	8.300000	26.458349	0.942211	0.592009	0.753769
514.600000	8.576667	27.018874	0.947162	0.595119	0.757729
531.200000	8.853333	27.571489	0.951968	0.598139	0.761575
547.800000	9.130000	28.116528	0.956638	0.601074	0.765311
564.400000	9.406667	28.654299	0.961180	0.603927	0.768944
581.000000	9.683333	29.185092	0.965601	0.606705	0.772481
597.600000	9.960000	29.709178	0.969907	0.609410	0.775926
614.200000	10.236667	30.226808	0.974104	0.612048	0.779283
630.800000	10.513333	30.738221	0.978199	0.614620	0.782559
647.400000	10.790000	31.243638	0.982195	0.617131	0.785756
664.000000	11.066667	31.743270	0.986099	0.619584	0.788879
680.600000	11.343333	32.237315	0.989913	0.621981	0.791931
697.200000	11.620000	32.725959	0.993643	0.624324	0.794915
713.800000	11.896667	33.209378	0.997293	0.626617	0.797834
730.400000	12.173333	33.687739	1.000865	0.628862	0.800692
747.000000	12.450000	34.161201	1.004363	0.631060	0.803490
763.600000	12.726667	34.629912	1.007790	0.633213	0.806232
780.200000	13.003333	35.094016	1.011150	0.635324	0.808920
796.800000	13.280000	35.553647	1.014445	0.637394	0.811556
813.400000	13.556667	36.008935	1.017677	0.639425	0.814142
830.000000	13.833333	36.460003	1.020849	0.641418	0.816679
846.600000	14.110000	36.906966	1.023963	0.643375	0.819171
863.200000	14.386667	37.349937	1.027022	0.645297	0.821618
879.800000	14.663333	37.789022	1.030027	0.647185	0.824022
896.400000	14.940000	38.224324	1.032981	0.649041	0.826385
913.000000	15.216667	38.655939	1.035885	0.650866	0.828708
929.600000	15.493333	39.083961	1.038740	0.652660	0.830992
946.200000	15.770000	39.508479	1.041550	0.654425	0.833240
962.800000	16.046667	39.929580	1.044314	0.656162	0.835451
979.400000	16.323333	40.347345	1.047035	0.657871	0.837628
996.000000	16.600000	40.761854	1.049714	0.659555	0.839771
1012.600000	16.876667	41.173182	1.052352	0.661212	0.841882
1029.200000	17.153333	41.581402	1.054951	0.662845	0.843961
1045.800000	17.430000	41.986585	1.057511	0.664454	0.846009
1062.400000	17.706667	42.388799	1.060035	0.666040	0.848028
1079.000000	17.983333	42.788107	1.062523	0.667603	0.850018
1095.600000	18.260000	43.184574	1.064975	0.669144	0.851980
1112.200000	18.536667	43.578260	1.067394	0.670664	0.853915
1128.800000	18.813333	43.969222	1.069780	0.672163	0.855824
1145.400000	19.090000	44.357518	1.072134	0.673642	0.857707
1162.000000	19.366667	44.743202	1.074457	0.675101	0.859566
1178.600000	19.643333	45.126326	1.076750	0.676542	0.861400
1195.200000	19.920000	45.506941	1.079013	0.677964	0.863211
1211.800000	20.196667	45.885097	1.081248	0.679368	0.864998
1228.400000	20.473333	46.260840	1.083455	0.680755	0.866764
1245.000000	20.750000	46.634218	1.085634	0.682124	0.868507
1261.600000	21.026667	47.005274	1.087787	0.683477	0.870230
1278.200000	21.303333	47.374053	1.089915	0.684814	0.871932
1294.800000	21.580000	47.740595	1.092017	0.686134	0.873613
1311.400000	21.856667	48.104941	1.094094	0.687440	0.875276
1328.000000	22.133333	48.467131	1.096148	0.688730	0.876918
1344.600000	22.410000	48.827203	1.098178	0.690006	0.878543
1361.200000	22.686667	49.185194	1.100186	0.691267	0.880149
1377.800000	22.963333	49.541140	1.102171	0.692514	0.881737
1394.400000	23.240000	49.895076	1.104134	0.693748	0.883307
1411.000000	23.516667	50.247035	1.106076	0.694968	0.884861
1427.600000	23.793333	50.597052	1.107997	0.696175	0.886398
1444.200000	24.070000	50.945158	1.109898	0.697370	0.887918
1460.800000	24.346667	51.291385	1.111779	0.698551	0.889423
1477.400000	24.623333	51.635762	1.113641	0.699721	0.890912
1494.000000	24.900000	51.978320	1.115483	0.700879	0.892386
1510.600000	25.176667	52.319087	1.117307	0.702025	0.893845
1527.200000	25.453333	52.658091	1.119112	0.703159	0.895290
1543.800000	25.730000	52.995360	1.120900	0.704282	0.896720
1560.400000	26.006667	53.330919	1.122670	0.705394	0.898136
1577.000000	26.283333	53.664796	1.124423	0.706496	0.899538
1593.600000	26.560000	53.997015	1.126159	0.707587	0.900927
1610.200000	26.836667	54.327602	1.127879	0.708667	0.902303
1626.800000	27.113333	54.656579	1.129583	0.709738	0.903666
1643.400000	27.390000	54.983971	1.131270	0.710798	0.905016
1660.000000	27.666667	55.309800	1.132943	0.711849	0.906354
1676.600000	27.943333	55.634090	1.134600	0.712890	0.907680
1693.200000	28.220000	55.956860	1.136242	0.713922	0.908993
1709.800000	28.496667	56.278134	1.137869	0.714944	0.910295
1726.400000	28.773333	56.597931	1.139482	0.715958	0.911586
1743.000000	29.050000	56.916273	1.141081	0.716962	0.912865
1759.600000	29.326667	57.233178	1.142666	0.717958	0.914133
1776.200000	29.603333	57.548667	1.144238	0.718946	0.915390
1792.800000	29.880000	57.862758	1.145796	0.719925	0.916637
1809.400000	30.156667	58.175469	1.147341	0.720895	0.917872
1826.000000	30.433333	58.486820	1.148873	0.721858	0.919098
1842.600000	30.710000	58.796828	1.150392	0.722813	0.920314
1859.200000	30.986667	59.105510	1.151899	0.723759	0.921519
1875.800000	31.263333	59.412882	1.153394	0.724699	0.922715
1892.400000	31.540000	59.718963	1.154876	0.725630	0.923901
1909.000000	31.816667	60.023768	1.156347	0.726554	0.925078
1925.600000	32.093333	60.327312	1.157806	0.727471	0.926245
1942.200000	32.370000	60.629613	1.159254	0.728381	0.927403
1958.800000	32.646667	60.930684	1.160690	0.729283	0.928552
1975.400000	32.923333	61.230541	1.162116	0.730179	0.929693
1992.000000	33.200000	61.529199	1.163530	0.731068	0.930824
2008.600000	33.476667	61.826671	1.164934	0.731950	0.931947
2025.200000	33.753333	62.122973	1.166327	0.732825	0.933062
2041.800000	34.030000	62.418117	1.167710	0.733694	0.934168
2058.400000	34.306667	62.712118	1.169083	0.734556	0.935266
2075.000000	34.583333	63.004988	1.170445	0.735412	0.936356
2091.600000	34.860000	63.296742	1.171798	0.736262	0.937438
2108.200000	35.136667	63.587390	1.173141	0.737106	0.938513
2124.800000	35.413333	63.876947	1.174474	0.737944	0.939579
2141.400000	35.690000	64.165424	1.175798	0.738776	0.940638
2158.000000	35.966667	64.452834	1.177112	0.739601	0.941690
2174.600000	36.243333	64.739188	1.178418	0.740422	0.942734
2191.200000	36.520000	65.024497	1.179714	0.741236	0.943771
2207.800000	36.796667	65.308774	1.181001	0.742045	0.944801
2224.400000	37.073333	65.592030	1.182279	0.742848	0.945824
2241.000000	37.350000	65.874275	1.183549	0.743646	0.946839
2257.600000	37.626667	66.155520	1.184811	0.744438	0.947848
2274.200000	37.903333	66.435776	1.186063	0.745226	0.948851
2290.800000	38.180000	66.715054	1.187308	0.746008	0.949846
2307.400000	38.456667	66.993363	1.188544	0.746784	0.950835
2324.000000	38.733333	67.270714	1.189772	0.747556	0.951818
2340.600000	39.010000	67.547116	1.190993	0.748323	0.952794
2357.200000	39.286667	67.822580	1.192205	0.749085	0.953764
2373.800000	39.563333	68.097115	1.193410	0.749841	0.954728
2390.400000	39.840000	68.370730	1.194607	0.750594	0.955685
2407.000000	40.116667	68.643434	1.195796	0.751341	0.956637
2423.600000	40.393333	68.915237	1.196978	0.752084	0.957582
2440.200000	40.670000	69.186148	1.198153	0.752822	0.958522
2456.800000	40.946667	69.456175	1.199320	0.753555	0.959456
2473.400000	41.223333	69.725327	1.200480	0.754284	0.960384
2490.000000	41.500000	69.993612	1.201633	0.755009	0.961307
2506.600000	41.776667	70.261039	1.202780	0.755729	0.962224
2523.200000	42.053333	70.527616	1.203919	0.756444	0.963135
2539.800000	42.330000	70.793352	1.205051	0.757156	0.964041
2556.400000	42.606667	71.058253	1.206177	0.757863	0.964942
2573.000000	42.883333	71.322329	1.207296	0.758566	0.965837
2589.600000	43.160000	71.585586	1.208409	0.759265	0.966727
2606.200000	43.436667	71.848033	1.209515	0.759960	0.967612
2622.800000	43.713333	72.109676	1.210614	0.760651	0.968491
2639.400000	43.990000	72.370524	1.211708	0.761338	0.969366
2656.000000	44.266667	72.630583	1.212795	0.762021	0.970236
2672.600000	44.543333	72.889861	1.213876	0.762701	0.971100
2689.200000	44.820000	73.148364	1.214950	0.763376	0.971960
2705.800000	45.096667	73.406100	1.216019	0.764047	0.972815
2722.400000	45.373333	73.663075	1.217082	0.764715	0.973666
2739.000000	45.650000	73.919297	1.218139	0.765379	0.974511
2755.600000	45.926667	74.174771	1.219190	0.766040	0.975352
2772.200000	46.203333	74.429505	1.220236	0.766697	0.976188
2788.800000	46.480000	74.683504	1.221275	0.767350	0.977020
2805.400000	46.756667	74.936776	1.222309	0.768000	0.977847
2822.000000	47.033333	75.189325	1.223338	0.768646	0.978670
2838.600000	47.310000	75.441160	1.224361	0.769289	0.979489
2855.200000	47.586667	75.692285	1.225379	0.769928	0.980303
2871.800000	47.863333	75.942706	1.226391	0.770564	0.981113
2888.400000	48.140000	76.192431	1.227398	0.771197	0.981918
2905.000000	48.416667	76.441463	1.228400	0.771826	0.982720
2921.600000	48.693333	76.689810	1.229396	0.772452	0.983517
2938.200000	48.970000	76.937476	1.230387	0.773075	0.984310
2954.800000	49.246667	77.184468	1.231374	0.773695	0.985099
2971.400000	49.523333	77.430790	1.232355	0.774311	0.985884
2988.000000	49.800000	77.676449	1.233331	0.774925	0.986665
3004.600000	50.076667	77.921450	1.234303	0.775535	0.987442
3021.200000	50.353333	78.165798	1.235269	0.776142	0.988215
3037.800000	50.630000	78.409497	1.236231	0.776747	0.988985
3054.400000	50.906667	78.652554	1.237188	0.777348	0.989750
3071.000000	51.183333	78.894974	1.238140	0.777946	0.990512
3087.600000	51.460000	79.136761	1.239087	0.778542	0.991270
3104.200000	51.736667	79.377920	1.240030	0.779134	0.992024
3120.800000	52.013333	79.618457	1.240969	0.779724	0.992775
3137.400000	52.290000	79.858376	1.241903	0.780310	0.993522
3154.000000	52.566667	80.097682	1.242832	0.780894	0.994265
3170.600000	52.843333	80.336379	1.243757	0.781475	0.995005
3187.200000	53.120000	80.574472	1.244677	0.782054	0.995742
3203.800000	53.396667	80.811967	1.245593	0.782629	0.996475
3220.400000	53.673333	81.048866	1.246505	0.783202	0.997204
3237.000000	53.950000	81.285176	1.247413	0.783773	0.997930
3253.600000	54.226667	81.520899	1.248316	0.784340	0.998653
3270.200000	54.503333	81.756041	1.249215	0.784905	0.999372
3286.800000	54.780000	81.990606	1.250111	0.785468	1.000088
3303.400000	55.056667	82.224599	1.251001	0.786027	1.000801
3320.000000	55.333333	82.458022	1.251888	0.786585	1.001511

2D aperture profile & 3D fracture shape
At time t =	2540	s  
Aperture scale factor in 3D:	1000
