Thermal calculator data file
Last updated date: 2016-08-11, 23:02:28

Thermal model: Gringarten equation
Base data
Parameter	Value	Unit	
Specific heat of rock	800	J/kg¡ÆC	
Specific heat of fluid	4178	J/kg¡ÆC	
Rock density	2628	kg/m^3	
Thermal conductivity of rock, k	3.018	W/m¡ÆC	
Initial rock temperature	180	¡ÆC	
Injection fluid temperature	60	¡ÆC	

Variables
Variable	Value	Unit	
Width of fracture	600	m	
Mass flow rate	40	kg/s	
Number of fractures	5		
Fracture spacing	60	m	
Distance from injection	800	m	
Time	30	years	

Calculation results
Outlet fluid temperature	161.67	¡ÆC	
Rock temperature distribution
Z	X	Temperature	
m	m	¡ÆC	
0.00	0.00	60.00	
8.00	0.00	60.18	
16.00	0.00	60.40	
24.00	0.00	60.65	
32.00	0.00	60.93	
40.00	0.00	61.25	
48.00	0.00	61.60	
56.00	0.00	61.99	
64.00	0.00	62.41	
72.00	0.00	62.87	
80.00	0.00	63.37	
88.00	0.00	63.91	
96.00	0.00	64.48	
104.00	0.00	65.09	
112.00	0.00	65.73	
120.00	0.00	66.41	
128.00	0.00	67.13	
136.00	0.00	67.89	
144.00	0.00	68.68	
152.00	0.00	69.50	
160.00	0.00	70.36	
168.00	0.00	71.25	
176.00	0.00	72.18	
184.00	0.00	73.13	
192.00	0.00	74.12	
200.00	0.00	75.14	
208.00	0.00	76.19	
216.00	0.00	77.26	
224.00	0.00	78.37	
232.00	0.00	79.49	
240.00	0.00	80.65	
248.00	0.00	81.83	
256.00	0.00	83.03	
264.00	0.00	84.25	
272.00	0.00	85.49	
280.00	0.00	86.75	
288.00	0.00	88.03	
296.00	0.00	89.33	
304.00	0.00	90.64	
312.00	0.00	91.97	
320.00	0.00	93.30	
328.00	0.00	94.65	
336.00	0.00	96.01	
344.00	0.00	97.38	
352.00	0.00	98.76	
360.00	0.00	100.14	
368.00	0.00	101.53	
376.00	0.00	102.92	
384.00	0.00	104.32	
392.00	0.00	105.71	
400.00	0.00	107.11	
408.00	0.00	108.51	
416.00	0.00	109.90	
424.00	0.00	111.30	
432.00	0.00	112.69	
440.00	0.00	114.07	
448.00	0.00	115.45	
456.00	0.00	116.82	
464.00	0.00	118.19	
472.00	0.00	119.54	
480.00	0.00	120.89	
488.00	0.00	122.23	
496.00	0.00	123.56	
504.00	0.00	124.87	
512.00	0.00	126.17	
