Dip	Dip direction
63	13
65	193
65	340
87	345
86	346
86	350
90	350
85	353
90	355
62	347
65	350
56	9
58	28
60	149
86	230
88	243
86	257
77	250
73	265
68	255
65	244
65	297
57	270
54	270
50	230
33	216
43	199
88	36
90	50
86	86
85	230
87	250
87	258
84	26
77	240
78	251
73	270
66	277
63	247
58	77
60	281
54	276
50	255
32	247
85	37
87	53
86	93
87	237
70	360
64	10
57	167
58	313
60	328
87	250
90	270
90	287
83	73
80	105
81	244
82	276
79	245
77	255
74	270
65	90
65	255
60	228
57	292
55	297
43	216
35	275
87	41
87	56
85	109
85	240
86	251
85	270
90	296
80	75
82	110
82	248
80	291
78	245
75	279
67	225
65	217
63	263
60	232
55	230
52	301
45	218
30	249
90	44
87	57
86	116
85	240
90	286
80	65
80	101
82	234
86	252
88	270
80	30
82	83
83	327
80	328
84	330
80	331
82	322
80	210
82	255
80	297
78	247
75	285
70	242
65	220
65	266
60	233
53	235
47	210
42	286
25	254
87	45
87	67
86	220
87	240
87	255
87	274
83	45
80	84
82	232
80	257
75	84
75	247
78	302
70	248
64	229
65	268
58	244
55	240
47	217
45	291
75	202
46	168
42	177
37	83
37	60
40	118
40	154
36	177
40	181
35	133
34	30
32	81
32	105
32	119
31	126
25	20
34	157
26	62
28	97
26	129
30	167
20	121
21	25
20	33
24	57
20	70
25	115
20	260
20	126
23	127
20	133
25	145
22	158
18	214
22	267
20	325
18	77
19	111
16	153
0	180
90	28
90	50
90	74
15	7
13	81
12	85
6	132
7	190
90	7
90	10
86	12
90	13
85	13
87	14
90	15
87	24
87	136
86	141
87	143
85	147
85	147
87	150
88	162
85	163
86	167
87	175
86	182
90	314
90	280
83	62
80	85
82	232
80	264
76	218
88	314
90	315
86	325
90	326
90	327
90	328
90	341
85	342
44	106
43	176
36	205
85	343
85	345
87	345
88	345
87	356
85	356
87	358
88	360
82	13
83	150
80	155
83	186
83	186
80	327
82	336
80	338
80	342
83	350
80	352
80	355
84	355
77	192
60	343
78	328
79	346
75	351
75	354
75	354
75	355
78	357
77	360
72	334
74	344
74	356
74	357
70	6
70	8
68	10
67	15
67	140
70	147
70	161
70	304
70	314
67	333
66	334
70	337
70	337
70	341
70	344
70	344
70	346
70	353
88	342
70	360
60	355
53	304
47	8
34	16
27	308
